3dHAWzVO.1,13:03:58,T10,Team T10,0,LOG_STARTED,On JOSEPHJ-MYHP at 2015-10-19T20:03:58.956Z
3dHAWzVO.2,13:03:58,T10,Team T10,150,Uz9Y6Vj,7Mn72l7Kxb==
3dHAWzVO.3,13:03:58,T10,Team T10,170,kpTAkpX,xC9JgAJRZF3Lte6S
3dHAWzVO.4,13:03:58,T10,Team T10,167,TzXiixrS,VMaKbMrV==
3dHAWzVO.5,13:03:58,T10,Team T10,196,bzpeWNx6,dMFFP0B9==
3dHAWzVO.6,13:03:58,T10,Team T10,161,nfdkAbFq,psqGtoyn==
3dHAWzVO.7,13:03:58,T10,Team T10,110,fnHiOJpw,hAPDHVLwI=
3dHAWzVO.8,13:03:58,T10,Team T10,191,8oAnNawl,ioCtzkv=
3dHAWzVO.9,13:03:58,T10,Team T10,181,NldcOVzs,PysyH8CG2=
3dHAWzVO.10,13:03:58,T10,Team T10,175,yQKZDA87,A3YpwNiht5U1MtWWgCJ==
3dHAWzVO.11,13:03:58,T10,Team T10,170,vpVouHRC,xC9JnRPzDbLt==
3dHAWzVO.12,13:03:58,T10,Team T10,114,5VBwSDVk,fNpDRHI==
3dHAWzVO.13,13:03:58,T10,Team T10,176,LJFmsjD4,Vxoip1Ihex24p
3dHAWzVO.14,13:03:58,T10,Team T10,119,35pgOdNOo,ajOBEpiM==
3dHAWzVO.15,13:03:58,T10,Team T10,187,jpHaMhlU,tuAA2XoUsqO=
3dHAWzVO.16,13:03:58,T10,Team T10,160,amyXvsat,khK7tcdEf5F==
3dHAWzVO.17,13:03:58,T10,Team T10,173,84avt8Sd,ipjBu5Hr9pqRjuH==
3dHAWzVO.18,13:03:58,T10,Team T10,130,utp6Sbp,HGBfOtm==
3dHAWzVO.19,13:03:58,T10,Team T10,120,9q2FDGs,mDdOzbnR5
3dHAWzVO.20,13:03:58,T10,Team T10,0,LOG_STOPPED,On JOSEPHJ-MYHP at 2015-10-19T20:03:58.978Z
