kG2jUaxl.1,13:03:57,T3,Team T3,0,LOG_STARTED,On JOSEPHJ-MYHP at 2015-10-19T20:03:57.952Z
kG2jUaxl.2,13:03:57,T3,Team T3,157,wuo5ZGSht,DIRoPRVGweUP4=
kG2jUaxl.3,13:03:57,T3,Team T3,129,woSnDcG1,Gw6EFgGa=
kG2jUaxl.4,13:03:57,T3,Team T3,100,Mz7SiD5,ZMg1eW3iJAUV2qZU
kG2jUaxl.5,13:03:57,T3,Team T3,157,qvD8Mr7,DIRoIJY=
kG2jUaxl.6,13:03:57,T3,Team T3,146,eO6hVIqr7,l2yzLTnCi
kG2jUaxl.7,13:03:57,T3,Team T3,175,BPPOg1Fq,LFw==
kG2jUaxl.8,13:03:57,T3,Team T3,115,aNjUqLj,n0t8m1q=
kG2jUaxl.9,13:03:57,T3,Team T3,171,LxFAc79C,NKTW5mWRZGI8l1H43l
kG2jUaxl.10,13:03:57,T3,Team T3,187,bEKbfqY,oR1rbqLjMK_UQ
kG2jUaxl.11,13:03:57,T3,Team T3,156,oCKz70wl,yrEDW1j==
kG2jUaxl.12,13:03:57,T3,Team T3,147,rr1E0rV8S,yFtXQDYfEIcuIqYBO6l==
kG2jUaxl.13,13:03:57,T3,Team T3,145,6WILN2Ov,g4ESAPCC6QoVtxR==
kG2jUaxl.14,13:03:57,T3,Team T3,125,BPriCf1sq,I3Rzsqezjaeq==
kG2jUaxl.15,13:03:57,T3,Team T3,109,1hREspDYw,8vfZizXhsbQViVIesz4y==
kG2jUaxl.16,13:03:57,T3,Team T3,193,B9ZWAjjy,LfR6rxiFJ4k==
kG2jUaxl.17,13:03:57,T3,Team T3,124,iX1Ykhv,vacbgBuMJdFg
kG2jUaxl.18,13:03:57,T3,Team T3,101,5rxckBBSs,cFVpaLMSt1HVNVkVdDh==
kG2jUaxl.19,13:03:57,T3,Team T3,172,Nay97y0,0nOk3UN==
kG2jUaxl.20,13:03:57,T3,Team T3,100,Xz9GsVZW,ZMg1l5jhKJWR3DLoQ=
kG2jUaxl.21,13:03:57,T3,Team T3,154,Y6aPXygr,8f84ew7td9iC=
kG2jUaxl.22,13:03:57,T3,Team T3,148,ylV4CVV,Ly8lyrVyB7Q
kG2jUaxl.23,13:03:57,T3,Team T3,128,euW9BqM3H,lImtrEO7==
kG2jUaxl.24,13:03:57,T3,Team T3,134,tZ9mMLdog,AdACCW9shc
kG2jUaxl.25,13:03:57,T3,Team T3,139,qbd0s9t,Dopioht9=
kG2jUaxl.26,13:03:57,T3,Team T3,124,tX3Muzpw,D56WJtlCrn6==
kG2jUaxl.27,13:03:57,T3,Team T3,150,8y0B9EKT,aLcW2MSeow
kG2jUaxl.28,13:03:57,T3,Team T3,184,yZv4gfd,LcMhcleEMrpGWjK==
kG2jUaxl.29,13:03:57,T3,Team T3,185,RRVoydtiu,Y5rFooOzfHoAkB
kG2jUaxl.30,13:03:57,T3,Team T3,103,FemJhO6,SrvVdRmQGGp1icA9
kG2jUaxl.31,13:03:57,T3,Team T3,109,1hREspDYw,8vfZiDUkdW0DwUJ==
kG2jUaxl.32,13:03:57,T3,Team T3,193,q9X8q1p,Dmfkm9s==
kG2jUaxl.33,13:03:57,T3,Team T3,162,TnXw2BXG,3f3wkL6==
kG2jUaxl.34,13:03:57,T3,Team T3,100,Xz9GsVZW,ZMg1l9ZrBA5brpLWV
kG2jUaxl.35,13:03:57,T3,Team T3,152,ykA5360x,IlEzTaRHI_Ls=
kG2jUaxl.36,13:03:57,T3,Team T3,128,jvd0ytV4,tQgsuC4hq
kG2jUaxl.37,13:03:57,T3,Team T3,186,9LRCkZ7g,jJMEk1W_0joR90u==
kG2jUaxl.38,13:03:57,T3,Team T3,148,EkG1PaG5D,Ly8lFkb_sY9r==
kG2jUaxl.39,13:03:57,T3,Team T3,140,NvDaUpNK,XMzb0BOaKhFH=
kG2jUaxl.40,13:03:57,T3,Team T3,124,tX3Muzpw,D79H=
kG2jUaxl.41,13:03:57,T3,Team T3,103,FemJhO6,SrvVdUcIYFj==
kG2jUaxl.42,13:03:57,T3,Team T3,139,BbfOCrna,L8W8Wyos4fq==
kG2jUaxl.43,13:03:57,T3,Team T3,131,Vlb6KDBO,5CTkBuXSLgQ8Bu4==
kG2jUaxl.44,13:03:57,T3,Team T3,106,iDRQgZR,vQ05cX6u0X==
kG2jUaxl.45,13:03:57,T3,Team T3,0,LOG_STOPPED,On JOSEPHJ-MYHP at 2015-10-19T20:03:57.973Z
